100
1000 9884
0 1 303
0 73 669
0 178 816
0 332 752
0 395 455
0 402 592
0 453 502
0 518 146
0 548 718
0 601 710
0 622 587
0 652 872
0 659 726
0 722 149
0 765 368
0 793 767
0 864 332
0 981 240
0 982 265
1 2 368
1 46 771
1 82 845
1 94 10
1 97 634
1 215 70
1 235 518
1 349 629
1 374 958
1 396 162
1 498 666
1 537 259
1 627 177
1 665 307
1 670 414
1 673 615
1 676 328
1 742 520
1 783 207
1 824 662
1 888 812
1 992 181
2 3 180
2 136 443
2 376 125
2 463 892
2 613 725
2 669 921
2 705 379
2 707 175
2 780 978
2 799 594
2 804 909
2 838 232
2 858 684
2 917 538
2 956 906
3 4 972
3 32 638
3 50 468
3 175 920
3 242 924
3 248 288
3 341 649
3 422 511
3 462 797
3 556 909
3 640 291
3 800 956
3 964 484
3 996 489
4 5 59
4 114 326
4 294 207
4 360 859
4 362 561
4 396 734
4 429 962
4 563 585
4 609 687
4 688 221
4 738 443
4 857 967
4 935 434
5 6 754
5 20 82
5 26 130
5 42 127
5 53 752
5 193 364
5 237 302
5 281 540
5 308 180
5 421 357
5 431 636
5 460 497
5 682 426
5 699 592
5 821 106
5 879 293
5 928 377
5 950 133
5 964 595
5 976 780
6 7 49
6 9 440
6 16 39
6 23 902
6 127 726
6 223 763
6 234 848
6 381 166
6 397 87
6 430 930
6 456 666
6 463 746
6 472 679
6 502 989
6 666 434
6 676 250
6 725 825
6 813 945
6 857 629
6 897 940
6 915 630
6 934 623
6 958 539
6 980 984
7 8 131
7 63 969
7 159 5
7 466 385
7 499 964
7 577 21
7 603 468
7 670 559
7 735 413
7 813 531
7 902 775
8 9 213
8 73 953
8 409 217
8 418 282
8 449 978
8 495 388
8 602 391
8 649 688
8 735 633
8 826 138
8 827 966
8 920 425
9 10 634
9 45 123
9 110 135
9 164 57
9 174 386
9 269 191
9 383 454
9 421 620
9 453 706
9 483 832
9 514 934
9 562 758
9 567 972
9 732 366
9 894 698
10 11 120
10 56 861
10 75 754
10 111 669
10 180 107
10 204 965
10 312 878
10 317 497
10 452 130
10 678 36
10 778 571
10 818 672
10 869 802
10 888 43
10 905 819
11 12 613
11 22 847
11 155 540
11 173 645
11 194 876
11 200 15
11 203 781
11 389 86
11 446 899
11 496 772
11 513 305
11 533 571
11 590 887
11 623 433
11 658 624
11 712 286
11 942 344
11 947 447
11 959 651
11 965 391
11 970 471
11 996 741
12 13 304
12 66 937
12 611 253
12 629 505
12 640 323
12 718 190
12 871 452
12 890 194
12 897 627
12 935 959
12 953 312
13 14 243
13 31 506
13 148 617
13 199 693
13 210 550
13 245 213
13 341 785
13 365 213
13 440 735
13 450 34
13 558 400
13 650 896
13 720 813
13 767 57
13 788 737
13 862 116
13 897 261
13 914 502
14 15 935
14 59 942
14 79 191
14 141 465
14 227 89
14 278 996
14 292 46
14 300 392
14 343 28
14 369 795
14 444 546
14 453 258
14 506 220
14 514 910
14 717 549
14 718 534
14 729 900
14 778 515
14 792 854
14 878 75
14 949 996
14 963 856
14 976 506
14 983 97
15 16 148
15 34 836
15 113 115
15 128 447
15 147 196
15 281 584
15 357 675
15 374 845
15 390 325
15 522 305
15 524 736
15 616 66
15 654 690
15 684 153
15 690 864
15 698 998
15 794 905
15 838 664
15 863 894
16 17 981
16 53 952
16 88 209
16 108 142
16 128 225
16 176 871
16 189 897
16 200 499
16 246 662
16 251 752
16 253 841
16 265 656
16 307 763
16 392 338
16 430 873
16 462 45
16 535 18
16 557 994
16 595 926
16 623 544
16 653 190
16 658 962
16 699 924
16 753 160
16 801 381
16 891 713
16 901 356
16 981 980
17 18 400
17 77 589
17 104 900
17 192 40
17 254 98
17 381 786
17 404 52
17 405 3
17 461 268
17 554 591
17 581 929
17 619 435
17 644 131
17 668 334
17 737 483
17 834 465
17 856 323
17 894 342
17 975 118
18 19 142
18 72 837
18 132 156
18 217 151
18 438 828
18 499 816
18 567 499
18 739 985
18 953 23
18 970 586
18 972 495
19 20 189
19 77 572
19 191 281
19 251 87
19 265 51
19 322 155
19 348 428
19 411 533
19 452 534
19 506 209
19 585 293
19 658 146
19 735 868
19 769 633
19 895 855
19 918 381
19 989 514
19 997 29
20 21 505
20 105 6
20 272 317
20 354 64
20 371 188
20 422 200
20 447 280
20 483 358
20 581 749
20 622 545
20 635 37
20 640 334
20 704 425
20 776 515
21 22 892
21 29 927
21 96 442
21 156 569
21 220 305
21 487 270
21 528 471
21 531 360
21 638 146
21 649 927
21 662 283
21 738 915
21 794 409
21 807 740
21 811 604
21 849 494
22 23 822
22 58 10
22 192 830
22 236 709
22 303 271
22 348 475
22 456 311
22 514 530
22 531 519
22 543 260
22 551 477
22 727 840
22 776 561
22 974 808
22 992 922
23 24 501
23 124 243
23 147 805
23 192 169
23 269 347
23 379 397
23 409 238
23 462 13
23 503 184
23 563 137
23 613 136
23 635 985
23 889 860
23 970 929
24 25 897
24 40 919
24 80 241
24 113 75
24 124 336
24 128 394
24 146 40
24 152 429
24 204 190
24 222 902
24 361 217
24 366 16
24 472 31
24 478 36
24 503 326
24 533 18
24 555 285
24 601 912
24 668 624
24 675 32
24 704 285
24 720 975
24 756 527
24 771 319
24 867 873
24 885 1
24 939 856
25 26 873
25 87 482
25 114 467
25 239 773
25 241 179
25 334 424
25 425 851
25 547 926
25 605 622
25 621 54
25 626 152
25 639 246
25 644 166
25 714 612
25 782 302
25 815 844
25 872 168
25 886 979
25 895 61
25 914 309
26 27 740
26 44 463
26 105 40
26 151 902
26 169 490
26 249 236
26 271 394
26 293 500
26 296 168
26 320 242
26 596 267
26 696 970
26 760 315
26 867 267
26 868 950
27 28 967
27 52 730
27 95 903
27 169 752
27 177 132
27 205 175
27 258 701
27 263 106
27 323 404
27 327 39
27 329 428
27 358 524
27 366 15
27 374 764
27 565 353
27 580 110
27 638 32
27 678 816
27 686 739
27 691 266
27 804 980
27 875 386
27 878 191
27 979 717
28 29 445
28 165 872
28 209 558
28 517 757
28 546 521
28 569 810
28 722 675
28 735 239
28 739 148
28 792 977
28 949 571
29 30 379
29 75 69
29 119 538
29 164 707
29 234 344
29 264 438
29 281 936
29 298 95
29 313 533
29 604 163
29 647 421
29 665 631
29 812 691
29 852 73
30 31 92
30 165 600
30 213 45
30 316 313
30 352 273
30 401 848
30 406 265
30 410 354
30 414 428
30 449 836
30 455 990
30 564 631
30 629 466
30 755 71
30 809 794
30 832 613
31 32 332
31 123 31
31 182 908
31 278 161
31 307 498
31 318 807
31 357 351
31 372 914
31 433 569
31 589 222
31 592 96
31 605 158
31 616 539
31 654 216
31 699 872
31 713 685
31 767 141
31 916 179
32 33 872
32 110 890
32 222 430
32 234 254
32 251 365
32 291 198
32 362 862
32 416 603
32 454 477
32 491 730
32 525 958
32 599 216
32 715 570
32 744 417
32 844 47
32 845 653
32 894 66
33 34 489
33 213 418
33 219 923
33 286 157
33 477 203
33 605 181
33 608 103
33 636 383
